Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Radial_D7.5mm_P2.50mm",272.0000,-81.3386,-90.0000,top
"C2","100uF","CP_Radial_D7.5mm_P2.50mm",281.7500,-81.3386,-90.0000,top
"C34","100n","C_0603_1608Metric",103.0000,-40.0000,0.0000,bottom
"C35","100n","C_0603_1608Metric",111.5000,-40.0000,0.0000,bottom
"C36","100n","C_0603_1608Metric",164.5000,-37.2300,0.0000,bottom
"C37","100n","C_0603_1608Metric",156.5000,-37.2300,0.0000,bottom
"J1","Power","PinHeader_1x08_P2.54mm_Vertical",259.6850,-55.9350,-90.0000,top
"J2","Analog","PinHeader_1x08_P2.54mm_Vertical",236.8250,-55.9350,-90.0000,top
"J3","Analog","PinHeader_1x08_P2.54mm_Vertical",213.9650,-55.9350,-90.0000,top
"J4","Digital","PinHeader_2x18_P2.54mm_Vertical",193.6450,-50.8550,180.0000,top
"J5","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",232.0000,51.0000,180.0000,top
"J6","PWM","PinHeader_1x10_P2.54mm_Vertical",268.8290,-7.6750,-90.0000,top
"J7","PWM","PinHeader_1x08_P2.54mm_Vertical",241.9050,-7.6750,-90.0000,top
"J8","Communication","PinHeader_1x08_P2.54mm_Vertical",219.0450,-7.6750,-90.0000,top
"J9","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",214.1500,0.8000,-90.0000,top
"J10","Conn_01x26","DSUB-26-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm",175.3750,-80.4600,0.0000,top
"J11","L17HTHES4R1C","L17HTHES4R1C",70.0075,-80.0000,0.0000,top
"J12","DA15_Socket_MountingHoles","DSUB-15-HD_Pins_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm",297.0000,13.8400,90.0000,top
"J13","FCR7350R","FCR7350R",30.3700,-80.5100,90.0000,top
"J14","FCR7350B","FCR7350B",10.3700,-80.5100,90.0000,top
"J15","DE09-SL-24","DE09SL24",121.9450,-82.5100,0.0000,top
"J16","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",207.0000,51.0000,180.0000,top
"J17","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",182.0000,51.0000,180.0000,top
"J18","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",157.0000,51.0000,180.0000,top
"J19","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",132.0000,51.0000,180.0000,top
"J20","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",107.0000,51.0000,180.0000,top
"J21","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",82.0000,51.0000,180.0000,top
"J22","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",57.0000,51.0000,180.0000,top
"J23","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",32.0000,51.0000,180.0000,top
"J24","OSTOQ025450","SHDR2W100P0X508_1X2_1216X860X1230P",7.0000,51.0000,180.0000,top
"J25","KLDX-0202-A-LT","KLDX0202ALT",285.0000,41.0000,-90.0000,top
"JP2","Jumper_3_Open","PinHeader_1x03_P2.54mm_Vertical",279.0000,-73.2500,90.0000,top
"K1","OJE-SH-105LMH,000","OJESH105LMH000",1.0000,23.3000,90.0000,top
"K2","OJE-SH-105LMH,000","OJESH105LMH000",26.0000,23.3000,90.0000,top
"K3","OJE-SH-105LMH,000","OJESH105LMH000",51.0000,23.3000,90.0000,top
"K4","OJE-SH-105LMH,000","OJESH105LMH000",76.0000,23.3000,90.0000,top
"K5","OJE-SH-105LMH,000","OJESH105LMH000",101.0000,23.3000,90.0000,top
"K6","OJE-SH-105LMH,000","OJESH105LMH000",201.0375,23.3000,90.0000,top
"K7","OJE-SH-105LMH,000","OJESH105LMH000",126.0000,23.3000,90.0000,top
"K8","OJE-SH-105LMH,000","OJESH105LMH000",226.0000,23.3000,90.0000,top
"K9","OJE-SH-105LMH,000","OJESH105LMH000",151.0000,23.3000,90.0000,top
"K10","OJE-SH-105LMH,000","OJESH105LMH000",175.6000,23.3000,90.0000,top
"K11","VOR1003M4T","VOR1003M4T",168.0000,-44.0000,-90.0000,top
"K12","VOR1003M4T","VOR1003M4T",161.5000,-44.0000,-90.0000,top
"K13","VOR1003M4T","VOR1003M4T",155.0000,-44.0000,-90.0000,top
"K14","VOR1003M4T","VOR1003M4T",148.5000,-44.0000,-90.0000,top
"K15","VOR1003M4T","VOR1003M4T",142.0000,-44.0000,-90.0000,top
"K16","VOR1003M4T","VOR1003M4T",135.5000,-44.0000,-90.0000,top
"K17","VOR1003M4T","VOR1003M4T",129.0000,-44.0000,-90.0000,top
"K18","VOR1003M4T","VOR1003M4T",122.5000,-44.0000,-90.0000,top
"K19","VOR1003M4T","VOR1003M4T",109.5000,-44.0000,-90.0000,top
"K20","VOR1003M4T","VOR1003M4T",116.0000,-44.0000,-90.0000,top
"Q1","IRLML2060","SOT-23",64.5000,-64.7500,90.0000,bottom
"Q2","IRLML2060","SOT-23",73.9125,-64.7500,90.0000,bottom
"Q3","IRLZ44N","TO-220-3_Horizontal_TabDown",10.4100,-67.7900,90.0000,top
"Q4","IRLML2060","SOT-23",123.9050,-76.0000,0.0000,top
"Q9","IRLML2060","SOT-23",63.0875,27.3000,90.0000,top
"Q10","IRLML2060","SOT-23",88.0000,27.3625,90.0000,top
"Q11","IRLML2060","SOT-23",38.1625,27.3000,90.0000,top
"Q12","IRLML2060","SOT-23",13.0000,27.3000,90.0000,top
"Q13","IRLML2060","SOT-23",117.0550,-76.0000,0.0000,top
"Q14","IRLML2060","SOT-23",162.9500,27.2375,90.0000,top
"Q15","IRLML2060","SOT-23",187.5875,27.3000,90.0000,top
"Q16","IRLML2060","SOT-23",112.9500,27.2375,90.0000,top
"Q17","IRLML2060","SOT-23",138.0000,27.3000,90.0000,top
"Q22","IRLML2060","SOT-23",110.1550,-76.0000,0.0000,top
"Q23","IRLML2060","SOT-23",238.2000,27.2375,90.0000,top
"Q24","IRLML2060","SOT-23",213.2500,27.3625,90.0000,top
"Q27","DMP6185SEQ-13","SOT230P700X180-4N",104.0000,-53.7500,-90.0000,bottom
"Q28","IRLML2060","SOT-23",103.0000,-43.0000,-90.0000,bottom
"Q29","IRLML2060","SOT-23",111.2500,-43.0000,-90.0000,bottom
"Q30","DMP6185SEQ-13","SOT230P700X180-4N",112.0000,-53.7500,-90.0000,bottom
"Q31","IRLML2060","SOT-23",164.5000,-40.2300,-90.0000,bottom
"Q32","DMP6185SEQ-13","SOT230P700X180-4N",165.5000,-50.9800,-90.0000,bottom
"Q33","IRLML2060","SOT-23",156.5000,-40.2300,-90.0000,bottom
"Q34","DMP6185SEQ-13","SOT230P700X180-4N",157.2500,-50.9800,-90.0000,bottom
"R1","100R","R_0805_2012Metric",88.0000,21.8625,180.0000,top
"R2","100R","R_0805_2012Metric",63.0875,21.8000,180.0000,top
"R3","100R","R_0805_2012Metric",38.1625,21.8000,180.0000,top
"R4","100R","R_0805_2012Metric",13.0000,21.8000,180.0000,top
"R5","100R","R_0805_2012Metric",238.2000,21.7375,180.0000,top
"R6","100R","R_0805_2012Metric",213.2500,21.8625,180.0000,top
"R7","100R","R_0805_2012Metric",187.5875,21.8000,180.0000,top
"R8","100R","R_0805_2012Metric",162.9500,21.7375,180.0000,top
"R9","100R","R_0805_2012Metric",138.0000,21.8000,180.0000,top
"R10","100R","R_0805_2012Metric",112.9500,21.7375,180.0000,top
"R11","100K","R_0805_2012Metric",204.2500,-68.0000,-90.0000,top
"R12","22K","R_0805_2012Metric",206.2500,-68.0000,-90.0000,top
"R13","100K","R_0805_2012Metric",208.5000,-68.0000,-90.0000,top
"R14","22K","R_0805_2012Metric",210.5000,-68.0000,-90.0000,top
"R15","100K","R_0805_2012Metric",212.7500,-68.0000,-90.0000,top
"R16","22K","R_0805_2012Metric",214.7500,-68.0000,-90.0000,top
"R17","100K","R_0805_2012Metric",219.0000,-68.0000,-90.0000,top
"R18","22K","R_0805_2012Metric",217.0000,-68.0000,-90.0000,top
"R19","100K","R_0805_2012Metric",221.2500,-68.0000,-90.0000,top
"R20","22K","R_0805_2012Metric",223.2500,-68.0000,-90.0000,top
"R21","100K","R_0805_2012Metric",227.5000,-68.0000,-90.0000,top
"R22","22K","R_0805_2012Metric",225.5000,-68.0000,-90.0000,top
"R23","100K","R_0805_2012Metric",229.7500,-68.0000,-90.0000,top
"R24","22K","R_0805_2012Metric",231.7500,-68.0000,-90.0000,top
"R25","100K","R_0805_2012Metric",236.0000,-68.0000,-90.0000,top
"R26","22K","R_0805_2012Metric",234.0000,-68.0000,-90.0000,top
"R27","100K","R_0805_2012Metric",238.2500,-68.0000,-90.0000,top
"R28","22K","R_0805_2012Metric",240.2500,-68.0000,-90.0000,top
"R29","100K","R_0805_2012Metric",244.5000,-68.0000,-90.0000,top
"R30","22K","R_0805_2012Metric",242.5000,-68.0000,-90.0000,top
"R31","R","R_0805_2012Metric",63.7500,-69.0000,90.0000,bottom
"R32","R","R_0805_2012Metric",72.7500,-69.0000,90.0000,bottom
"R33","100R","R_0805_2012Metric",60.0000,-69.0000,-90.0000,top
"R34","100R","R_0805_2012Metric",57.0000,-69.0000,-90.0000,top
"R35","100R","R_0805_2012Metric",65.4000,-69.0000,-90.0000,top
"R36","100R","R_0805_2012Metric",63.0000,-69.0000,-90.0000,top
"R37","R","R_0805_2012Metric",75.0000,-69.0000,90.0000,bottom
"R38","100R","R_0805_2012Metric",54.0000,-68.9125,90.0000,top
"R39","100R","R_0805_2012Metric",73.0000,-69.0000,90.0000,top
"R40","100R","R_0805_2012Metric",75.5000,-69.0000,90.0000,top
"R41","100R","R_0805_2012Metric",13.1800,-67.2500,90.0000,top
"R42","100K","R_0805_2012Metric",114.0550,-76.0000,-90.0000,top
"R43","100K","R_0805_2012Metric",120.9050,-76.0000,-90.0000,top
"R44","100K","R_0805_2012Metric",107.1550,-76.0000,-90.0000,top
"R56","100R","R_0805_2012Metric",121.9050,-71.3500,90.0000,top
"R57","100R","R_0805_2012Metric",115.1550,-71.3500,90.0000,top
"R62","100R","R_0805_2012Metric",108.1550,-71.3500,-90.0000,top
"R65","10K","R_0805_2012Metric",13.1800,-63.3375,90.0000,top
"R66","10K","R_0805_2012Metric",13.0000,24.0500,0.0000,top
"R67","10K","R_0805_2012Metric",38.1625,24.0500,0.0000,top
"R68","10K","R_0805_2012Metric",63.0875,24.0500,0.0000,top
"R69","10K","R_0805_2012Metric",88.0000,24.1125,0.0000,top
"R70","10K","R_0805_2012Metric",112.9500,23.9875,0.0000,top
"R71","10K","R_0805_2012Metric",138.0000,24.0500,0.0000,top
"R72","10K","R_0805_2012Metric",162.9500,23.9875,0.0000,top
"R73","10K","R_0805_2012Metric",187.5875,24.0500,0.0000,top
"R74","10K","R_0805_2012Metric",213.2500,24.1125,0.0000,top
"R75","10K","R_0805_2012Metric",238.2000,23.9875,0.0000,top
"R76","750R","R_0805_2012Metric",169.2500,-37.0000,90.0000,top
"R77","750R","R_0805_2012Metric",162.7500,-37.0000,90.0000,top
"R78","750R","R_0805_2012Metric",156.2500,-37.0000,90.0000,top
"R79","750R","R_0805_2012Metric",149.7500,-37.0000,90.0000,top
"R80","750R","R_0805_2012Metric",143.2500,-37.0000,90.0000,top
"R81","750R","R_0805_2012Metric",136.7500,-37.0000,90.0000,top
"R82","750R","R_0805_2012Metric",130.2500,-37.0000,90.0000,top
"R83","750R","R_0805_2012Metric",123.7500,-37.0000,90.0000,top
"R84","750R","R_0805_2012Metric",110.7500,-37.0000,90.0000,top
"R85","750R","R_0805_2012Metric",117.2500,-37.0000,90.0000,top
"R102","100R","R_0805_2012Metric",197.7500,-12.7500,-90.0000,bottom
"R103","100R","R_0805_2012Metric",231.7500,-12.0000,-90.0000,bottom
"R104","100R","R_0805_2012Metric",229.2500,-12.0000,-90.0000,bottom
"R109","10K","R_0805_2012Metric",104.0000,-46.2500,0.0000,bottom
"R110","10K","R_0805_2012Metric",104.0000,-48.2500,0.0000,bottom
"R111","2K","R_0805_2012Metric",103.0000,-38.0000,0.0000,bottom
"R112","2K","R_0805_2012Metric",111.5000,-38.0000,0.0000,bottom
"R113","10K","R_0805_2012Metric",112.2500,-48.2500,0.0000,bottom
"R114","10K","R_0805_2012Metric",112.2500,-46.2500,0.0000,bottom
"R115","2K","R_0805_2012Metric",164.5000,-35.2300,0.0000,bottom
"R116","10K","R_0805_2012Metric",165.5000,-43.4800,0.0000,bottom
"R117","10K","R_0805_2012Metric",165.5000,-45.4800,0.0000,bottom
"R118","2K","R_0805_2012Metric",156.5000,-35.2300,0.0000,bottom
"R119","10K","R_0805_2012Metric",157.5000,-45.5000,0.0000,bottom
"R120","10K","R_0805_2012Metric",157.5000,-43.4800,0.0000,bottom
