Row,REALTRA Part Number,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,R-CAP-0051-100N,4,C34 C35 C36 C37,100n,~,C_0603_1608Metric,Unpolarized capacitor,KYOCERA AVX,KGM15BR71H104JT,
2,R-CON-1265-9POS,1,J15,DE09-SL-24,https://app.adam-tech.com/products/download/data_sheet/198472/dxxx-sl-24-data-sheet.pdf,DE09SL24,"9 Position D-Sub Receptacle, Female Sockets Connector 250VAC ,3A,-20C ~ 85C",,,
3,R-CON-1267-BBLK,1,J14,FCR7350B,https://www.cliffuk.co.uk/products/testleads/sockets/S16NPC.pdf,FCR7350B,"Banana Jack Connector Standard Banana Solder Black Female  Through Hole, Right Angle",,,
4,R-CON-1266-BRED,1,J13,FCR7350R,http://www.cliffuk.co.uk/products/testleads/sockets/S16NPC.pdf,FCR7350R,"CLIFF ELECTRONIC COMPONENTS - FCR7350R - SOCKET, PCB, 4MM, R/A, S16N-PC, RED",,,
5,R-CON-1264-15PO,1,J11,L17HTHES4R1C,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/l17hthxs4rxc.p,L17HTHES4R1C,"Dsub, Stamped Signal 3A, Right Angle PCB Thru Hole, Hight Temp High Density, FP=8.89mm (0.350in), 15 Socket, Bright Tin Shell, Flash Gold, 4-40 Rear Insert, Ground Tab&Boardlock, Plastic Tray, Close Back",,,
6,R-CON-1262-VTBH,10,J5 J16 J17 J18 J19 J20 J21 J22 J23 J24,OSTOQ025450,https://www.on-shore.com/wp-content/uploads/OSTOQXX5450.pdf,SHDR2W100P0X508_1X2_1216X860X1230P,TERM BLOCK HDR 2POS VERT 5.08MM,,,
7,R-CON-1263-26PO,10,J1 J2 J3 J4 J6 J7 J8 J9 J10 J12,Power,~,PinHeader_1x08_P2.54mm_Vertical,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, double row, 02x18, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x26, script generated (kicad-library-utils/schlib/autogen/connector/) 15-pin D-SUB connector, socket (female) (low-density/2 columns), Mounting Hole",Amphenol Positronic,DD26S3S00S/AA,
8,R-SWI-0002-RESW,10,K1 K2 K3 K4 K5 K6 K7 K8 K9 K10,"OJE-SH-105LMH,000",https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=OJ_OJE_series_relay_data_sheet_E&DocType=Data%20Sheet&DocLang=English&PartCntxt=1461403-3&DocFormat=pdf,OJESH105LMH000,Body Features: Product Weight .318 OZ | Product Weight 9 G | Insulation Special Features Tracking Index of Relay Base PTI250 | Contact Features: Contact Material AgCdO | Contact Current Class 16 AMP | Contact Arrangement 1 Form A (NO) | Contact Number of Poles 1 | Contact Current Rating (Max) 8 AMP | Dimensions: Insulation Clearance Between Contact & Coil .129 INCH | Length Class (Mechanical) 16  20 MM | Height Class (Mechanical) 14  15 MM | Product Height 14.7 MM | Product Length .716 INCH | Product,,,
9,R-SWI-0003-PRSW,10,K11 K12 K13 K14 K15 K16 K17 K18 K19 K20,VOR1003M4T,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/VOR1003M4T/25973730?msockid=3bdc366bbe0663d83c1223c0bf3662a6,VOR1003M4T,"Solid State SPST-NO (1 Form A) 4-SMD, Gull Wing",,,
10,R-FET-0023-PCMF,4,Q27 Q30 Q32 Q34,DMP6185SEQ-13,https://www.diodes.com//assets/Datasheets/DMP6185SEQ.pdf,SOT230P700X180-4N,MOSFET MOSFET BVDSS: 41V-60V,,,
